,FORMULATING_UNIT,INVESTMENT_EXECUTING_UNIT,UBIGEO,PROVINCE,FUNCTION,TYPE_OF_INVESTMENT,INVESTMENT_NAME,UPDATED_COST,ACCUMULATED_EARNINGS_AS_OF_2021,PIM_2022,AMOUNT_YEAR_2022,AMOUNT_YEAR_2023,AMOUNT_YEAR_2024,AMOUNT_YEAR_2025
331,GOBIERNO REGIONAL LIMA,GERENCIA REGIONAL DE DESARROLLO ECONOMICO,150900,OYON,AGROPECUARIA,PROYECTO DE INVERSION,MEJORAMIENTO DEL SISTEMA DE  RIEGO  CANAL PUCLUNCUY- DISWA - ESQUINA - EN EL SECTOR DE PUCLUNCUY-LOCALIDAD HUACA PUNA  DISTRITO DE NAVAN - PROVINCIA DE OYON - DEPARTAMENTO DE LIMA,82614.0,0.0,82615.0,82614.0,0.0,0.0,0.0
332,GOBIERNO REGIONAL LIMA,GERENCIA REGIONAL DE DESARROLLO ECONOMICO,150600,HUARAL,AGROPECUARIA,PROYECTO DE INVERSION,MEJORAMIENTO DEL SISTEMA DE RIEGO  BUENA VISTA,10227849.962406015,2823768.7218045113,909659.7293233082,825422.6842105263,1065005.5714285714,1450749.4436090225,1517121.0
333,GOBIERNO REGIONAL LIMA,DIRECCION REGIONAL DE AGRICULTURA,150300,CAJATAMBO,AGROPECUARIA,PROYECTO DE INVERSION,MEJORAMIENTO DE SERVICIO DE AGUA DEL SISTEMA DE RIEGO AGUSINZAN DISTRITO DE GORGOR,10227849.962406015,2823768.7218045113,909659.7293233082,825422.6842105263,1065005.5714285714,1450749.4436090225,1517121.0
334,GOBIERNO REGIONAL LIMA,SIN UEI,150000,SIN PROVINCIA,TRANSPORTE,PROYECTO DE INVERSION,MEJORAMIENTO DE LA AVENIDA HUANUCO EN LA LOCALIDAD DE OYÓN,10227849.962406015,2823768.7218045113,909659.7293233082,825422.6842105263,1065005.5714285714,1450749.4436090225,1517121.0
335,GOBIERNO REGIONAL LIMA,GERENCIA REGIONAL DE RECURSOS NATURALES Y GESTION DEL MEDIO AMBIENTE,151000,YAUYOS,ORDEN PUBLICO Y SEGURIDAD,INVERSIONES IOARR,ADQUISICION DE CAMIONETA Y MOTOCICLETA; EN EL(LA) MUNICIPALIDAD DISTRITAL DE SAN JOAQUIN  DISTRITO DE SAN JOAQUIN,10227849.962406015,2823768.7218045113,909659.7293233082,825422.6842105263,1065005.5714285714,1450749.4436090225,1517121.0
336,GOBIERNO REGIONAL LIMA,GERENCIA REGIONAL DE RECURSOS NATURALES Y GESTION DEL MEDIO AMBIENTE,151000,YAUYOS,ORDEN PUBLICO Y SEGURIDAD,INVERSIONES IOARR,ADQUISICION DE CAMIONETA Y MOTOCICLETA; EN EL(LA) MUNICIPALIDAD DISTRITAL DE QUINOCAY EN LA LOCALIDAD QUINOCAY,10227849.962406015,2823768.7218045113,909659.7293233082,825422.6842105263,1065005.5714285714,1450749.4436090225,1517121.0
337,GOBIERNO REGIONAL LIMA,GERENCIA REGIONAL DE RECURSOS NATURALES Y GESTION DEL MEDIO AMBIENTE,151000,YAUYOS,ORDEN PUBLICO Y SEGURIDAD,INVERSIONES IOARR,ADQUISICION DE CAMIONETA Y MOTOCICLETA; EN EL(LA) MUNICIPALIDAD DISTRITAL DE HUAÑEC  DISTRITO DE HUAÑEC,10227849.962406015,2823768.7218045113,909659.7293233082,825422.6842105263,1065005.5714285714,1450749.4436090225,1517121.0
338,GOBIERNO REGIONAL LIMA,GERENCIA REGIONAL DE RECURSOS NATURALES Y GESTION DEL MEDIO AMBIENTE,150900,OYON,ORDEN PUBLICO Y SEGURIDAD,INVERSIONES IOARR,ADQUISICION DE CAMIONETA Y MOTOCICLETA; EN EL(LA) MUNICIPALIDAD DISTRITAL DE PACHANGARA  DISTRITO DE PACHANGARA,10227849.962406015,2823768.7218045113,909659.7293233082,825422.6842105263,1065005.5714285714,1450749.4436090225,1517121.0
339,GOBIERNO REGIONAL LIMA,GERENCIA REGIONAL DE RECURSOS NATURALES Y GESTION DEL MEDIO AMBIENTE,150500,CAÑETE,ORDEN PUBLICO Y SEGURIDAD,INVERSIONES IOARR,ADQUISICION DE CAMIONETA,10227849.962406015,2823768.7218045113,909659.7293233082,825422.6842105263,1065005.5714285714,1450749.4436090225,1517121.0
340,GOBIERNO REGIONAL LIMA,GERENCIA REGIONAL DE RECURSOS NATURALES Y GESTION DEL MEDIO AMBIENTE,151000,YAUYOS,ORDEN PUBLICO Y SEGURIDAD,INVERSIONES IOARR,ADQUISICION DE CAMIONETA Y MOTOCICLETA; EN EL(LA) MUNICIPALIDAD DISTRITAL DE CACRA  DISTRITO DE CACRA,10227849.962406015,2823768.7218045113,909659.7293233082,825422.6842105263,1065005.5714285714,1450749.4436090225,1517121.0
341,GOBIERNO REGIONAL LIMA,GERENCIA REGIONAL DE RECURSOS NATURALES Y GESTION DEL MEDIO AMBIENTE,151000,YAUYOS,ORDEN PUBLICO Y SEGURIDAD,INVERSIONES IOARR,ADQUISICION DE CAMIONETA Y MOTOCICLETA; EN EL(LA) MUNICIPALIDAD DISTRITAL DE HUANCAYA  DISTRITO DE HUANCAYA,10227849.962406015,2823768.7218045113,909659.7293233082,825422.6842105263,1065005.5714285714,1450749.4436090225,1517121.0
342,GOBIERNO REGIONAL LIMA,GERENCIA REGIONAL DE INFRAESTRUCTURA,150800,HUAURA,EDUCACION,INVERSIONES IOARR,ADQUISICION DE TANQUES DE ALMACENAMIENTO DE AGUA; CONSTRUCCION DE ; EN EL(LA) IE 20366 TUPAC AMARU II - HUAURA  DISTRITO DE HUAURA,10227849.962406015,2823768.7218045113,909659.7293233082,825422.6842105263,1065005.5714285714,1450749.4436090225,1517121.0
343,GOBIERNO REGIONAL LIMA,GERENCIA REGIONAL DE DESARROLLO SOCIAL,150000,SIN PROVINCIA,EDUCACION,INVERSIONES IOARR,ADQUISICION DE EQUIPAMIENTO DE LABORATORIO; EN EL(LA) IESTP SANTA MARIA MAGDALENA  DISTRITO DE CAJATAMBO,10227849.962406015,2823768.7218045113,909659.7293233082,825422.6842105263,1065005.5714285714,1450749.4436090225,1517121.0
344,GOBIERNO REGIONAL LIMA,SIN UEI,150000,SIN PROVINCIA,EDUCACION,INVERSIONES IOARR,ADQUISICION DE EQUIPAMIENTO DE LABORATORIO Y EQUIPAMIENTO DE INGENIERIA; EN EL(LA) INSTITUTO DE EDUCACION SUPERIOR TECNOLOGICO PUBLICO OYON  DISTRITO DE OYON,10227849.962406015,2823768.7218045113,909659.7293233082,825422.6842105263,1065005.5714285714,1450749.4436090225,1517121.0
345,GOBIERNO REGIONAL LIMA,GERENCIA REGIONAL DE DESARROLLO SOCIAL,150200,BARRANCA,SALUD,INVERSIONES IOARR,ADQUISICION DE GRUPO ELECTROGENO Y CAMA CAMILLA MULTIPROPOSITO; EN EL(LA) EESS HOSPITAL DE BARRANCA - BARRANCA  DISTRITO DE BARRANCA,10227849.962406015,2823768.7218045113,909659.7293233082,825422.6842105263,1065005.5714285714,1450749.4436090225,1517121.0
346,GOBIERNO REGIONAL LIMA,GERENCIA REGIONAL DE DESARROLLO SOCIAL,150800,HUAURA,SALUD,INVERSIONES IOARR,ADQUISICION DE GRUPO ELECTROGENO Y CAMA CAMILLA MULTIPROPOSITO; EN EL(LA) EESS HOSPITAL GENERAL DE HUACHO - HUACHO  DISTRITO DE HUACHO,10227849.962406015,2823768.7218045113,909659.7293233082,825422.6842105263,1065005.5714285714,1450749.4436090225,1517121.0
347,GOBIERNO REGIONAL LIMA,GERENCIA REGIONAL DE DESARROLLO SOCIAL,150500,CAÑETE,SALUD,INVERSIONES IOARR,ADQUISICION DE GRUPO ELECTROGENO Y CAMA CAMILLA MULTIPROPOSITO; EN EL(LA) EESS MALA - MALA  DISTRITO DE MALA,10227849.962406015,2823768.7218045113,909659.7293233082,825422.6842105263,1065005.5714285714,1450749.4436090225,1517121.0
348,GOBIERNO REGIONAL LIMA,GERENCIA REGIONAL DE DESARROLLO SOCIAL,150500,CAÑETE,EDUCACION,INVERSIONES IOARR,ADQUISICION DE EQUIPAMIENTO DE LABORATORIO; EN EL(LA) INSTITUTO DE EDUCACION SUPERIOR PEDAGOGICA PUBLICA SAN JOSEMARIA ESCRIVA  DISTRITO DE SAN VICENTE DE CAÑETE,10227849.962406015,2823768.7218045113,909659.7293233082,825422.6842105263,1065005.5714285714,1450749.4436090225,1517121.0
350,GOBIERNO REGIONAL LIMA,GERENCIA REGIONAL DE DESARROLLO SOCIAL,150700,HUAROCHIRI,SALUD,INVERSIONES IOARR,ADQUISICION DE GRUPO ELECTROGENO Y CAMA CAMILLA MULTIPROPOSITO; EN EL(LA) EESS HOSPITAL SAN JUAN DE MATUCANA - MATUCANA  DISTRITO DE MATUCANA,10227849.962406015,2823768.7218045113,909659.7293233082,825422.6842105263,1065005.5714285714,1450749.4436090225,1517121.0
351,GOBIERNO REGIONAL LIMA,GERENCIA REGIONAL DE DESARROLLO SOCIAL,150600,HUARAL,SALUD,INVERSIONES IOARR,ADQUISICION DE GRUPO ELECTROGENO Y CAMA CAMILLA MULTIPROPOSITO; EN EL(LA) EESS HOSPITAL CHANCAY Y SERVICIOS BASICOS DE SALUD - CHANCAY  DISTRITO DE CHANCAY,10227849.962406015,2823768.7218045113,909659.7293233082,825422.6842105263,1065005.5714285714,1450749.4436090225,1517121.0
352,MUNICIPALIDAD DISTRITAL DE COCHAMARCA,GERENCIA REGIONAL DE INFRAESTRUCTURA,150600,HUARAL,SANEAMIENTO,PROYECTO DE INVERSION,MEJORAMIENTO DE LA PLANTA DE TRATAMIENTO DE AGUAS RESIDUALES DEL CENTRO POBLADO DE INMACULADA CONCEPCION DE PASAC (PASAC) - DISTRITO DE ATAVILLOS ALTO - PROVINCIA DE HUARAL - REGIÓN LIMA,1486228.0,1347881.0,138347.0,28840.0,0.0,0.0,0.0
353,GOBIERNO REGIONAL LIMA,GERENCIA REGIONAL DE DESARROLLO SOCIAL,150500,CAÑETE,SALUD,INVERSIONES IOARR,ADQUISICION DE GRUPO ELECTROGENO Y CAMA CAMILLA MULTIPROPOSITO; EN EL(LA) EESS SAN LUIS - SAN LUIS  DISTRITO DE SAN LUIS,10227849.962406015,2823768.7218045113,909659.7293233082,825422.6842105263,1065005.5714285714,1450749.4436090225,1517121.0
354,GOBIERNO REGIONAL LIMA,GERENCIA REGIONAL DE DESARROLLO SOCIAL,150600,HUARAL,SALUD,INVERSIONES IOARR,ADQUISICION DE GRUPO ELECTROGENO Y CAMA CAMILLA MULTIPROPOSITO; EN EL(LA) EESS HOSPITAL SAN JUAN BAUTISTA HUARAL - HUARAL  DISTRITO DE HUARAL,10227849.962406015,2823768.7218045113,909659.7293233082,825422.6842105263,1065005.5714285714,1450749.4436090225,1517121.0
355,GOBIERNO REGIONAL LIMA,GERENCIA REGIONAL DE DESARROLLO SOCIAL,150500,CAÑETE,SALUD,INVERSIONES IOARR,ADQUISICION DE GRUPO ELECTROGENO Y CAMA CAMILLA MULTIPROPOSITO; EN EL(LA) EESS HOSPITAL REZOLA - SAN VICENTE DE CAÑETE  DISTRITO DE SAN VICENTE DE CAÑETE,10227849.962406015,2823768.7218045113,909659.7293233082,825422.6842105263,1065005.5714285714,1450749.4436090225,1517121.0
357,GOBIERNO REGIONAL LIMA,GERENCIA REGIONAL DE DESARROLLO SOCIAL,150500,CAÑETE,EDUCACION,INVERSIONES IOARR,ADQUISICION DE EQUIPAMIENTO DE LABORATORIO; EN EL(LA) IST CAÑETE  DISTRITO DE QUILMANA,10227849.962406015,2823768.7218045113,909659.7293233082,825422.6842105263,1065005.5714285714,1450749.4436090225,1517121.0
358,GOBIERNO REGIONAL LIMA,GERENCIA REGIONAL DE RECURSOS NATURALES Y GESTION DEL MEDIO AMBIENTE,150700,HUAROCHIRI,ORDEN PUBLICO Y SEGURIDAD,INVERSIONES IOARR,ADQUISICION DE CAMIONETA Y MOTOCICLETA; EN EL(LA) MUNICIPALIDAD DISTRITAL DE SAN ANTONIO  DISTRITO DE SAN ANTONIO,10227849.962406015,2823768.7218045113,909659.7293233082,825422.6842105263,1065005.5714285714,1450749.4436090225,1517121.0
359,GOBIERNO REGIONAL LIMA,GERENCIA REGIONAL DE RECURSOS NATURALES Y GESTION DEL MEDIO AMBIENTE,150700,HUAROCHIRI,ORDEN PUBLICO Y SEGURIDAD,INVERSIONES IOARR,ADQUISICION DE CAMIONETA Y MOTOCICLETA; EN EL(LA) MUNICIPALIDAD DISTRITAL DE SAN BARTOLOME  DISTRITO DE SAN BARTOLOME,10227849.962406015,2823768.7218045113,909659.7293233082,825422.6842105263,1065005.5714285714,1450749.4436090225,1517121.0
360,GOBIERNO REGIONAL LIMA,GERENCIA REGIONAL DE RECURSOS NATURALES Y GESTION DEL MEDIO AMBIENTE,150700,HUAROCHIRI,ORDEN PUBLICO Y SEGURIDAD,INVERSIONES IOARR,ADQUISICION DE CAMIONETA Y MOTOCICLETA; EN EL(LA) MUNICIPALIDAD DISTRITAL DE SANTO DOMINGO DE LOS OLLEROS  DISTRITO DE SANTO DOMINGO DE LOS OLLEROS,10227849.962406015,2823768.7218045113,909659.7293233082,825422.6842105263,1065005.5714285714,1450749.4436090225,1517121.0
361,GOBIERNO REGIONAL LIMA,GERENCIA SUB REGIONAL LIMA SUR,150500,CAÑETE,EDUCACION,PROYECTO DE INVERSION,MEJORAMIENTO,10227849.962406015,2823768.7218045113,909659.7293233082,825422.6842105263,1065005.5714285714,1450749.4436090225,1517121.0
362,GOBIERNO REGIONAL LIMA,GERENCIA REGIONAL DE DESARROLLO SOCIAL,150800,HUAURA,SALUD,INVERSIONES IOARR,ADQUISICION DE SISTEMA DE CIRUGIA LAPAROSCOPICA; EN EL(LA) EESS HOSPITAL GENERAL DE HUACHO - HUACHO  DISTRITO DE HUACHO,10227849.962406015,2823768.7218045113,909659.7293233082,825422.6842105263,1065005.5714285714,1450749.4436090225,1517121.0
363,GOBIERNO REGIONAL LIMA,GERENCIA SUB REGIONAL LIMA SUR,150500,CAÑETE,AGROPECUARIA,PROYECTO DE INVERSION,MEJORAMIENTO DEL CANAL HUANCA,10227849.962406015,2823768.7218045113,909659.7293233082,825422.6842105263,1065005.5714285714,1450749.4436090225,1517121.0
364,GOBIERNO REGIONAL LIMA,GERENCIA REGIONAL DE RECURSOS NATURALES Y GESTION DEL MEDIO AMBIENTE,150700,HUAROCHIRI,ORDEN PUBLICO Y SEGURIDAD,INVERSIONES IOARR,ADQUISICION DE CAMIONETA Y MOTOCICLETA; EN EL(LA) MUNICIPALIDAD PROVINCIAL DE HUAROCHIRÍ  DISTRITO DE MATUCANA,10227849.962406015,2823768.7218045113,909659.7293233082,825422.6842105263,1065005.5714285714,1450749.4436090225,1517121.0
365,GOBIERNO REGIONAL LIMA,GERENCIA REGIONAL DE RECURSOS NATURALES Y GESTION DEL MEDIO AMBIENTE,151000,YAUYOS,ORDEN PUBLICO Y SEGURIDAD,INVERSIONES IOARR,ADQUISICION DE CAMIONETA Y MOTOCICLETA; EN EL(LA) MUNICIPALIDAD DISTRITAL DE AYAUCA  DISTRITO DE AYAUCA,10227849.962406015,2823768.7218045113,909659.7293233082,825422.6842105263,1065005.5714285714,1450749.4436090225,1517121.0
366,GOBIERNO REGIONAL LIMA,GERENCIA REGIONAL DE RECURSOS NATURALES Y GESTION DEL MEDIO AMBIENTE,151000,YAUYOS,ORDEN PUBLICO Y SEGURIDAD,INVERSIONES IOARR,ADQUISICION DE CAMIONETA Y MOTOCICLETA; EN EL(LA) MUNICIPALIDAD DISTRITAL DE TANTA  DISTRITO DE TANTA,10227849.962406015,2823768.7218045113,909659.7293233082,825422.6842105263,1065005.5714285714,1450749.4436090225,1517121.0
367,GOBIERNO REGIONAL LIMA,GERENCIA REGIONAL DE DESARROLLO ECONOMICO,150300,CAJATAMBO,AGROPECUARIA,PROYECTO DE INVERSION,MEJORAMIENTO SISTEMA DE RIEGO  MARIANGAYAN EN LA LOCALIDAD DE  MARIANGAYAN  DISTRITO DE GORGOR - PROVINCIA DE CAJATAMBO - DEPARTAMENTO DE LIMA,92796.0,0.0,92796.0,92796.0,0.0,0.0,0.0
368,GOBIERNO REGIONAL LIMA,GERENCIA REGIONAL DE RECURSOS NATURALES Y GESTION DEL MEDIO AMBIENTE,151000,YAUYOS,ORDEN PUBLICO Y SEGURIDAD,INVERSIONES IOARR,ADQUISICION DE CAMIONETA Y MOTOCICLETA; EN EL(LA) MUNICIPALIDAD DISTRITAL DE VIÑAC  DISTRITO DE VIÑAC,10227849.962406015,2823768.7218045113,909659.7293233082,825422.6842105263,1065005.5714285714,1450749.4436090225,1517121.0
369,GOBIERNO REGIONAL LIMA,GERENCIA REGIONAL DE RECURSOS NATURALES Y GESTION DEL MEDIO AMBIENTE,151000,YAUYOS,ORDEN PUBLICO Y SEGURIDAD,INVERSIONES IOARR,ADQUISICION DE CAMIONETA Y MOTOCICLETA; EN EL(LA) MUNICIPALIDAD DISTRITAL DE COCHAS  DISTRITO DE COCHAS,10227849.962406015,2823768.7218045113,909659.7293233082,825422.6842105263,1065005.5714285714,1450749.4436090225,1517121.0
370,GOBIERNO REGIONAL LIMA,GERENCIA REGIONAL DE RECURSOS NATURALES Y GESTION DEL MEDIO AMBIENTE,151000,YAUYOS,ORDEN PUBLICO Y SEGURIDAD,INVERSIONES IOARR,ADQUISICION DE CAMIONETA Y MOTOCICLETA; EN EL(LA) MUNICIPALIDAD DISTRITAL DE CATAHUASI  DISTRITO DE CATAHUASI,10227849.962406015,2823768.7218045113,909659.7293233082,825422.6842105263,1065005.5714285714,1450749.4436090225,1517121.0
371,GOBIERNO REGIONAL LIMA,GERENCIA REGIONAL DE RECURSOS NATURALES Y GESTION DEL MEDIO AMBIENTE,150600,HUARAL,ORDEN PUBLICO Y SEGURIDAD,INVERSIONES IOARR,ADQUISICION DE CAMIONETA Y MOTOCICLETA; EN EL(LA) MUNICIPALIDAD DISTRITAL DE SANTA CRUZ DE ANDAMARCA  DISTRITO DE SANTA CRUZ DE ANDAMARCA,10227849.962406015,2823768.7218045113,909659.7293233082,825422.6842105263,1065005.5714285714,1450749.4436090225,1517121.0
