,FORMULATING_UNIT,INVESTMENT_EXECUTING_UNIT,UBIGEO,PROVINCE,FUNCTION,TYPE_OF_INVESTMENT,INVESTMENT_NAME,UPDATED_COST,ACCUMULATED_EARNINGS_AS_OF_2021,PIM_2022,AMOUNT_YEAR_2022,AMOUNT_YEAR_2023,AMOUNT_YEAR_2024,AMOUNT_YEAR_2025
275,GOBIERNO REGIONAL LIMA,GERENCIA REGIONAL DE DESARROLLO SOCIAL,150200,BARRANCA,EDUCACION,PROYECTO DE INVERSION,MEJORAMIENTO DEL SERVICIO EDUCATIVO DEL NIVEL INICIAL Y PRIMARIA DE LA I.E. 20947 CP PAMPA SAN ALEJO DEL DISTRITO DE BARRANCA - PROVINCIA DE BARRANCA - DEPARTAMENTO DE LIMA,7980464.0,0.0,0.0,0.0,400000.0,4000000.0,3580464.0
276,GOBIERNO REGIONAL LIMA,SIN UEI,150000,SIN PROVINCIA,EDUCACION,PROYECTO DE INVERSION,"MEJORAMIENTO DEL SERVICIO EDUCATIVO DEL NIVEL INICIAL Y PRIMARIA DE LA I.E N°661 - 20313 "" VIRGEN DE LA MERCED"" EN EL  DISTRITO DE CALETA DE CARQUIN - PROVINCIA DE HUAURA - DEPARTAMENTO DE LIMA",9995609.0,0.0,0.0,0.0,0.0,200000.0,2000000.0
277,GOBIERNO REGIONAL LIMA,SIN UEI,150000,SIN PROVINCIA,EDUCACION,PROYECTO DE INVERSION,MEJORAMIENTO DEL SERVICIO EDUCATIVO DEL NIVEL INICIAL Y PRIMARIA DE LA I.E. Nº 20501 SANTA ROSA EN EL  DISTRITO DE PATIVILCA - PROVINCIA DE BARRANCA - DEPARTAMENTO DE LIMA,9523839.0,0.0,0.0,0.0,0.0,200000.0,2000000.0
278,GOBIERNO REGIONAL LIMA,GERENCIA REGIONAL DE DESARROLLO ECONOMICO,150200,BARRANCA,TURISMO,PROYECTO DE INVERSION,MEJORAMIENTO DEL SERVICIO DE LOS RECURSOS TURISTICOS PÚBLICOS  DISTRITO DE HUARAL - PROVINCIA DE HUARAL - DEPARTAMENTO DE LIMA,392489.0,0.0,392489.0,392489.0,0.0,0.0,0.0
279,GOBIERNO REGIONAL LIMA,GERENCIA REGIONAL DE INFRAESTRUCTURA,150600,HUARAL,EDUCACION,PROYECTO DE INVERSION,MEJORAMIENTO DEL SERVICIO EDUCATIVO DEL NIVEL INICIAL,10227849.962406015,2823768.7218045113,909659.7293233082,825422.6842105263,1065005.5714285714,1450749.4436090225,1517121.0
280,GOBIERNO REGIONAL LIMA,GERENCIA REGIONAL DE INFRAESTRUCTURA,150200,BARRANCA,EDUCACION,PROYECTO DE INVERSION,MEJORAMIENTO DEL SERVICIO EDUCATIVO DEL NIVEL INICIAL Y PRIMARIA DE LA INSTITUCION EDUCATIVA Nº 21011 VIRGEN DE LOURDES EN EL  DISTRITO DE BARRANCA - PROVINCIA DE BARRANCA - DEPARTAMENTO DE LIMA,15762937.0,0.0,0.0,0.0,10000.0,5000000.0,5000000.0
281,GOBIERNO REGIONAL LIMA,GERENCIA REGIONAL DE INFRAESTRUCTURA,150600,HUARAL,EDUCACION,PROYECTO DE INVERSION,MEJORAMIENTO Y AMPLIACION DE LOS SERVICIOS DE EDUCACION INICIAL Y PRIMARIA EN LA I.E. N° 20865 LA FLORIDA,10227849.962406015,2823768.7218045113,909659.7293233082,825422.6842105263,1065005.5714285714,1450749.4436090225,1517121.0
282,GOBIERNO REGIONAL LIMA,GERENCIA REGIONAL DE DESARROLLO ECONOMICO,150800,HUAURA,TURISMO,PROYECTO DE INVERSION,MEJORAMIENTO DEL SERVICIO DE LOS RECURSOS TURISTICOS PUBLICOS EN LOS DISTRITOS DE VEGUETA,10227849.962406015,2823768.7218045113,909659.7293233082,825422.6842105263,1065005.5714285714,1450749.4436090225,1517121.0
283,GOBIERNO REGIONAL LIMA,GERENCIA SUB REGIONAL LIMA SUR,150500,CAÑETE,EDUCACION,PROYECTO DE INVERSION,MEJORAMIENTO DEL SERVICIO EDUCATIVO DE LA IE N° 20135  DISTRITO DE CHILCA - PROVINCIA DE CAÑETE - DEPARTAMENTO DE LIMA,3580710.0,0.0,0.0,0.0,149999.0,3430712.0,0.0
284,GOBIERNO REGIONAL LIMA,GERENCIA REGIONAL DE INFRAESTRUCTURA,150200,BARRANCA,EDUCACION,PROYECTO DE INVERSION,MEJORAMIENTO DEL SERVICIO EDUCATIVO DEL NIVEL INICIAL,10227849.962406015,2823768.7218045113,909659.7293233082,825422.6842105263,1065005.5714285714,1450749.4436090225,1517121.0
285,GOBIERNO REGIONAL LIMA,GERENCIA REGIONAL DE INFRAESTRUCTURA,150600,HUARAL,EDUCACION,PROYECTO DE INVERSION,MEJORAMIENTO DEL SERVICIO EDUCATIVO DEL NIVEL PRIMARIA Y SECUNDARIA DE LA I.E 20407 LOS NATURALES EN EL  DISTRITO DE HUARAL - PROVINCIA DE HUARAL - DEPARTAMENTO DE LIMA,21999197.0,0.0,512791.0,512790.0,3595119.0,5000000.0,5000000.0
286,GOBIERNO REGIONAL LIMA,GERENCIA REGIONAL DE DESARROLLO SOCIAL,150600,HUARAL,EDUCACION,PROYECTO DE INVERSION,MEJORAMIENTO Y AMPLIACION DEL SERVICIO EDUCATIVO EN LA I.E. N° 20386 JORGE BASADRE -  DISTRITO DE AUCALLAMA - PROVINCIA DE HUARAL - DEPARTAMENTO DE LIMA,16055827.0,9000.0,0.0,0.0,500000.0,5000000.0,5000000.0
287,GOBIERNO REGIONAL LIMA,GERENCIA SUB REGIONAL LIMA SUR,151000,YAUYOS,EDUCACION,PROYECTO DE INVERSION,MEJORAMIENTO DE LOS SERVICIOS DE EDUCACION DE NIVEL SECUNDARIA TAURIPAMPA EN EL  DISTRITO DE TAURIPAMPA - PROVINCIA DE YAUYOS - DEPARTAMENTO DE LIMA,4581183.0,0.0,0.0,143040.0,159999.0,4421185.0,0.0
288,GOBIERNO REGIONAL LIMA,GERENCIA SUB REGIONAL LIMA SUR,150500,CAÑETE,EDUCACION,PROYECTO DE INVERSION,MEJORAMIENTO DEL SERVICIO EDUCATIVO DEL NIVEL SECUNDARIA DE LA IE  GERARDO SALOMON MEJIA SACO DEL  DISTRITO DE CERRO AZUL - PROVINCIA DE CAÑETE - DEPARTAMENTO DE LIMA,17173201.0,0.0,0.0,0.0,6410738.0,5000000.0,5762463.0
289,GOBIERNO REGIONAL LIMA,SIN UEI,150000,SIN PROVINCIA,EDUCACION,PROYECTO DE INVERSION,MEJORAMIENTO DEL SERVICIO EDUCATIVO DEL NIVEL SECUNDARIA DE LA IE  CNI DEL  DISTRITO DE IMPERIAL - PROVINCIA DE CAÑETE - DEPARTAMENTO DE LIMA,7222655.0,0.0,0.0,0.0,0.0,200000.0,2000000.0
290,GOBIERNO REGIONAL LIMA,SIN UEI,150000,SIN PROVINCIA,EDUCACION,PROYECTO DE INVERSION,MEJORAMIENTO DEL SERVICIO EDUCATIVO DEL NIVEL SECUNDARIA DE LA INSTITUCION EDUCATIVA OSCAR MIRO QUESADA DE LA GUERRA EN EL C.P. UTCAS DEL DISTRITO DE CAJATAMBO - PROVINCIA DE CAJATAMBO - DEPARTAMENTO DE LIMA,8606524.0,0.0,0.0,0.0,0.0,200000.0,2000000.0
291,GOBIERNO REGIONAL LIMA,GERENCIA REGIONAL DE INFRAESTRUCTURA,150600,HUARAL,EDUCACION,PROYECTO DE INVERSION,MEJORAMIENTO Y AMPLIACION DEL SERVICIO EDUCATIVO DEL NIVEL SECUNDARIO EN EL C.E.T. N° 34  DISTRITO DE CHANCAY - PROVINCIA DE HUARAL - DEPARTAMENTO DE LIMA,12332852.0,196277.0,0.0,0.0,500000.0,5000000.0,5000000.0
292,GOBIERNO REGIONAL LIMA,GERENCIA REGIONAL DE DESARROLLO SOCIAL,150500,CAÑETE,EDUCACION,INVERSIONES IOARR,CONSTRUCCION DE AULA DE EDUCACION SUPERIOR TECNOLOGICA,10227849.962406015,2823768.7218045113,909659.7293233082,825422.6842105263,1065005.5714285714,1450749.4436090225,1517121.0
293,GOBIERNO REGIONAL LIMA,GERENCIA REGIONAL DE DESARROLLO SOCIAL,150700,HUAROCHIRI,EDUCACION,INVERSIONES IOARR,"ADQUISICION DE EQUIPAMIENTO DE LABORATORIO; EN EL(LA) IESTP ""AMAUTA JULIO C. TELLO""  DISTRITO DE HUAROCHIRI",10227849.962406015,2823768.7218045113,909659.7293233082,825422.6842105263,1065005.5714285714,1450749.4436090225,1517121.0
294,GOBIERNO REGIONAL LIMA,GERENCIA REGIONAL DE DESARROLLO SOCIAL,150500,CAÑETE,EDUCACION,INVERSIONES IOARR,"ADQUISICION DE EQUIPAMIENTO DE LABORATORIO; EN EL(LA) IESTP ""SAN PEDRO DEL VALLE DE MALA""  DISTRITO DE MALA",10227849.962406015,2823768.7218045113,909659.7293233082,825422.6842105263,1065005.5714285714,1450749.4436090225,1517121.0
295,GOBIERNO REGIONAL LIMA,GERENCIA REGIONAL DE INFRAESTRUCTURA,150800,HUAURA,EDUCACION,PROYECTO DE INVERSION,MEJORAMIENTO DEL SERVICIO DE EDUCACION TECNICA PRODUCTIVA  EN EL CETPRO SAN ANTONIO DE PADUA  DISTRITO DE SANTA MARIA - PROVINCIA DE HUAURA - DEPARTAMENTO DE LIMA,6612640.0,0.0,0.0,0.0,10000.0,3000000.0,3602640.0
296,GOBIERNO REGIONAL LIMA,DIRECCION REGIONAL DE TRANSPORTE Y COMUNICACIONES,150200,BARRANCA,TRANSPORTE,PROYECTO DE INVERSION,MEJORAMIENTO DE LA CARRETERA DEPARTAMENTAL LM 100,10227849.962406015,2823768.7218045113,909659.7293233082,825422.6842105263,1065005.5714285714,1450749.4436090225,1517121.0
297,GOBIERNO REGIONAL LIMA,DIRECCION REGIONAL DE TRANSPORTE Y COMUNICACIONES,150800,HUAURA,TRANSPORTE,PROYECTO DE INVERSION,MEJORAMIENTO DEL SERVICIO DE TRANSITIBILIDAD VIAL DE LA CARRETERA DEPARTAMENTAL RUTA LM-101;EMP. PE-1N (DV. HUACHO) - HUACHO - HUAURA - EMP. PE-1N (DV. VEGUETA); 5 DISTRITOS DE LA PROVINCIA DE HUAURA - DEPARTAMENTO DE LIMA,24871192.0,0.0,0.0,0.0,399000.0,5000000.0,5000000.0
298,GOBIERNO REGIONAL LIMA,SIN UEI,150000,SIN PROVINCIA,TRANSPORTE,PROYECTO DE INVERSION,MEJORAMIENTO DEL SERVICIO DE TRANSITABILIDAD VIAL DE LA CARRETERA VECINAL  LM 521,10227849.962406015,2823768.7218045113,909659.7293233082,825422.6842105263,1065005.5714285714,1450749.4436090225,1517121.0
299,GOBIERNO REGIONAL LIMA,SIN UEI,150000,SIN PROVINCIA,TRANSPORTE,PROYECTO DE INVERSION,MEJORAMIENTO DEL SERVICIO  DE TRANSITABILIDAD VIAL DE LA CARRETERA VECINAL LM-874; TRAMO EMP. PE 24 - SAN ISIDRO - QUILMANA; EN LOS DISTRITOS DE IMPERIAL Y QUILMANA DE LA  PROVINCIA DE CAÑETE - DEPARTAMENTO DE LIMA,9415430.0,0.0,0.0,0.0,0.0,200000.0,2000000.0
